[TRACE] 14:29:15:334 main.c/(2214:2214): ---------

[TRACE] 14:30:12:876 main.c/(2303:2303): ---------

[TRACE] 14:30:57:936 main.c/(2416:2416): ---------

[TRACE] 14:31:56:818 main.c/(2507:2507): ---------

[TRACE] 14:32:16:398 main.c/(2578:2578): ---------

[TRACE] 14:32:37:201 main.c/(2676:2676): ---------

[TRACE] 14:43:07:952 main.c/(3069:3069): ---------

[TRACE] 03:26:58:477 main.c/(3019:3019): Se creo el archivo swap. El tamaño es de 50000 MB
[TRACE] 01:20:18:13 main.c/(3417:3417): Se creo el archivo swap. El tamaño es de 640000 Bytes
[TRACE] 01:20:18:13 main.c/(3417:3417): Se cargo satisfactoriamente el archivo de configuracion
[TRACE] 01:24:12:330 main.c/(3417:3417): Leyendo pagina 0, pid 0
[TRACE] 01:24:12:354 main.c/(3417:3417): Leyendo pagina 7, pid 0
[TRACE] 01:24:12:375 main.c/(3417:3417): Leyendo pagina 1, pid 0
[TRACE] 01:24:12:378 main.c/(3417:3417): Leyendo pagina 1, pid 0
[TRACE] 01:24:12:428 main.c/(3417:3417): Escribiendo pagina 7, pid 0
[TRACE] 01:24:12:430 main.c/(3417:3417): Leyendo pagina 6, pid 0
[TRACE] 01:24:12:433 main.c/(3417:3417): Leyendo pagina 6, pid 0
[TRACE] 01:24:12:443 main.c/(3417:3417): Leyendo pagina 7, pid 0
[TRACE] 01:24:12:446 main.c/(3417:3417): Leyendo pagina 7, pid 0
[TRACE] 01:24:23:244 main.c/(3417:3417): Leyendo pagina 33554432, pid 96446211
[TRACE] 01:25:00:100 main.c/(3814:3814): Se creo el archivo swap. El tamaño es de 640000 Bytes
[TRACE] 01:25:00:100 main.c/(3814:3814): Se cargo satisfactoriamente el archivo de configuracion
[TRACE] 01:25:24:323 main.c/(3814:3814): Leyendo pagina 0, pid 0
[TRACE] 01:25:31:353 main.c/(3814:3814): Leyendo pagina 33554432, pid 96467966
[TRACE] 01:25:36:619 main.c/(3922:3922): Se creo el archivo swap. El tamaño es de 640000 Bytes
[TRACE] 01:25:36:619 main.c/(3922:3922): Se cargo satisfactoriamente el archivo de configuracion
[TRACE] 01:25:47:618 main.c/(3922:3922): Leyendo pagina 0, pid 0
[TRACE] 01:26:20:18 main.c/(3922:3922): Leyendo pagina 33554432, pid 96447073
[TRACE] 01:41:45:470 main.c/(3359:3359): Se creo el archivo swap. El tamaño es de 640000 Bytes
[TRACE] 01:41:45:470 main.c/(3359:3359): Se cargo satisfactoriamente el archivo de configuracion
[TRACE] 01:42:27:57 main.c/(3359:3359): Leyendo pagina 0, pid 0
[TRACE] 01:43:02:621 main.c/(3359:3359): Leyendo pagina 0, pid 1
[TRACE] 01:43:02:705 main.c/(3359:3359): Leyendo pagina 1, pid 0
[TRACE] 01:43:02:736 main.c/(3359:3359): Leyendo pagina 1, pid 1
[TRACE] 01:43:33:631 main.c/(3359:3359): Leyendo pagina 33554432, pid 96443028
[TRACE] 01:44:41:191 main.c/(5214:5214): Se creo el archivo swap. El tamaño es de 640000 Bytes
[TRACE] 01:44:41:191 main.c/(5214:5214): Se cargo satisfactoriamente el archivo de configuracion
[TRACE] 01:44:55:84 main.c/(5214:5214): Leyendo pagina 0, pid 0
[TRACE] 01:44:55:89 main.c/(5214:5214): Leyendo pagina 1, pid 0
[TRACE] 01:44:55:105 main.c/(5214:5214): Leyendo pagina 8, pid 0
[TRACE] 01:44:55:108 main.c/(5214:5214): Leyendo pagina 8, pid 0
[TRACE] 01:44:55:130 main.c/(5214:5214): Leyendo pagina 2, pid 0
[TRACE] 01:44:55:133 main.c/(5214:5214): Leyendo pagina 2, pid 0
[TRACE] 01:44:55:185 main.c/(5214:5214): Escribiendo pagina 8, pid 0
[TRACE] 01:44:55:186 main.c/(5214:5214): Leyendo pagina 6, pid 0
[TRACE] 01:44:55:190 main.c/(5214:5214): Leyendo pagina 6, pid 0
[TRACE] 01:44:55:196 main.c/(5214:5214): Leyendo pagina 7, pid 0
[TRACE] 01:44:55:199 main.c/(5214:5214): Leyendo pagina 7, pid 0
[TRACE] 01:44:55:205 main.c/(5214:5214): Leyendo pagina 8, pid 0
[TRACE] 01:44:55:208 main.c/(5214:5214): Leyendo pagina 8, pid 0
[TRACE] 01:44:55:266 main.c/(5214:5214): Leyendo pagina 2, pid 0
[TRACE] 01:44:55:271 main.c/(5214:5214): Leyendo pagina 2, pid 0
[TRACE] 01:44:55:287 main.c/(5214:5214): Escribiendo pagina 8, pid 0
[TRACE] 01:44:55:289 main.c/(5214:5214): Leyendo pagina 3, pid 0
[TRACE] 01:44:55:292 main.c/(5214:5214): Leyendo pagina 3, pid 0
[TRACE] 01:44:55:451 main.c/(5214:5214): Leyendo pagina 8, pid 0
[TRACE] 01:44:55:454 main.c/(5214:5214): Leyendo pagina 8, pid 0
[TRACE] 01:45:24:170 main.c/(5214:5214): Leyendo pagina 33554432, pid 96465039
[TRACE] 01:45:41:778 main.c/(5351:5351): Se creo el archivo swap. El tamaño es de 640000 Bytes
[TRACE] 01:45:41:778 main.c/(5351:5351): Se cargo satisfactoriamente el archivo de configuracion
[TRACE] 01:45:51:485 main.c/(5351:5351): Leyendo pagina 0, pid 0
[TRACE] 01:45:51:501 main.c/(5351:5351): Leyendo pagina 5, pid 0
[TRACE] 01:45:51:508 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:51:511 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:51:541 main.c/(5351:5351): Escribiendo pagina 5, pid 0
[TRACE] 01:45:51:543 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:51:546 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:51:568 main.c/(5351:5351): Leyendo pagina 5, pid 0
[TRACE] 01:45:51:570 main.c/(5351:5351): Leyendo pagina 5, pid 0
[TRACE] 01:45:51:579 main.c/(5351:5351): Leyendo pagina 2, pid 0
